,L,lambda,sd,NRMSE,median,R1
179,2.0,4.0,1.0,0.8317707651854649,-0.4493433126604944,0.9656418119615757
180,2.0,4.5,0.0,1.0218307978282006,-1.6337016850880374e-06,1.0
181,2.0,4.5,0.05,0.9301634401107528,-1.8726100684483435,0.9999395654217647
182,2.0,4.5,0.08,0.9339046557946991,-0.7056240588308584,0.9998410106730111
183,2.0,4.5,0.12,0.9347898431048577,-0.39644013242828546,0.9996264885599715
184,2.0,4.5,0.18,0.934733121896992,-0.17814900509000117,0.99917400269707
185,2.0,4.5,0.28,0.92511796744147,-0.6450670204432434,0.9978914865933156
186,2.0,4.5,0.42,0.8690609613445067,-0.6120500748186466,0.9955353781834203
187,2.0,4.5,0.65,0.8490988459096314,-0.17889149488329742,0.9902301382181958
188,2.0,4.5,1.0,0.8296733499429058,-0.374659920423189,0.9736378228745425
189,2.0,5.0,0.0,1.0218221561593277,-1.5167684386592657e-06,0.9999999999999999
190,2.0,5.0,0.05,0.9216137152446862,-1.9856833516686103,0.9999510504994245
191,2.0,5.0,0.08,0.9251718962059465,-0.7729211800735458,0.9998712339931187
192,2.0,5.0,0.12,0.926158350100216,-0.45499131796145365,0.9996975336588372
193,2.0,5.0,0.18,0.9262253518251902,-0.2140617071779019,0.9993312988016917
194,2.0,5.0,0.28,0.919462520145443,-0.4926918698021879,0.9982946776501227
195,2.0,5.0,0.42,0.8719067372697626,-0.5369746767326306,0.9963947907195257
196,2.0,5.0,0.65,0.832667619693828,-0.24124060057670288,0.9921393792220016
197,2.0,5.0,1.0,0.82769220715026,-0.19413938799840325,0.979057757124163
198,2.0,5.5,0.0,1.0218109320631552,-1.358686957467653e-06,0.9999999999999999
199,2.0,5.5,0.05,0.9130865027647267,-2.144164203258968,0.9999595474956302
200,2.0,5.5,0.08,0.9163961730653958,-0.8391204005665625,0.999893591379739
201,2.0,5.5,0.12,0.9174713470597161,-0.4832535305534226,0.9997500761885877
202,2.0,5.5,0.18,0.9176175311072993,-0.19828521341813976,0.9994475719449503
203,2.0,5.5,0.28,0.9126637672453823,-0.41408751038528935,0.9985922159389721
204,2.0,5.5,0.42,0.8746792221062374,-0.5984286621079764,0.9970272646151965
205,2.0,5.5,0.65,0.8165516539284039,-0.16788263834342299,0.9935353336806775
206,2.0,5.5,1.0,0.8179685579490802,-0.19237204961667276,0.9829274260017756
207,2.0,6.0,0.0,1.0218176052952894,-1.2560724948548385e-06,1.0000000000000002
208,2.0,6.0,0.05,0.905121824411056,-2.2892546834181173,0.9999660097629963
209,2.0,6.0,0.08,0.9074998564196124,-0.919240361968678,0.999910593438856
210,2.0,6.0,0.12,0.9087372130191241,-0.5370886789825247,0.9997900259672712
211,2.0,6.0,0.18,0.9088999761853979,-0.21862544048558402,0.9995359458143523
212,2.0,6.0,0.28,0.9052268467055045,-0.39934862842196006,0.9988180768449029
213,2.0,6.0,0.42,0.8740737526400861,-0.7288604538306047,0.9975063972761072
214,2.0,6.0,0.65,0.8009969962272668,-0.13358504265539495,0.9945878527240153
215,2.0,6.0,1.0,0.8043586966075451,-0.19182293493082886,0.9857975496091008
216,2.0,6.5,0.0,1.0218210791812057,-1.1595651002322631e-06,1.0
217,2.0,6.5,0.05,0.8974495397196386,-2.424076647569996,0.9999710386781172
218,2.0,6.5,0.08,0.8986748245429207,-0.9704412552562789,0.9999238234808884
219,2.0,6.5,0.12,0.8999711718565802,-0.5919642551497108,0.9998211083503205
220,2.0,6.5,0.18,0.9002104804248399,-0.20332476984757258,0.9996046848456538
221,2.0,6.5,0.28,0.8973585971234105,-0.41003082990005746,0.9989935862101641
222,2.0,6.5,0.42,0.872095830346135,-0.5812770507798796,0.9978781364422855
223,2.0,6.5,0.65,0.7858591910083431,-0.2975014745785215,0.9954015639012467
224,2.0,6.5,1.0,0.78986022601766,-0.3089778541119238,0.9879902112703072
225,2.0,7.0,0.0,1.0218423590232257,-1.074986603576619e-06,1.0
226,2.0,7.0,0.05,0.8900744188577697,-2.5336985953827593,0.9999750288051892
227,2.0,7.0,0.08,0.8898117725360479,-1.039423545239216,0.9999343201273585
228,2.0,7.0,0.12,0.8911736144071546,-0.6350438783214132,0.9998457662626911
229,2.0,7.0,0.18,0.8915362149910042,-0.24402090225257855,0.9996592043868058
230,2.0,7.0,0.28,0.8892576516343882,-0.36841947162411737,0.9991326833969915
231,2.0,7.0,0.42,0.868728006926205,-0.5244480129892192,0.9981723933951984
232,2.0,7.0,0.65,0.7729762747951575,-0.3283513506803275,0.9960439106467044
233,2.0,7.0,1.0,0.7751237560721793,-0.367999173166473,0.9897056947419233
234,2.0,8.0,0.0,1.0218082866679805,-9.457611208350846e-07,0.9999999999999999
235,2.0,8.0,0.05,0.8761437746393215,-2.7341734273959357,0.9999808820974675
236,2.0,8.0,0.08,0.8723061987861607,-1.1773707158000504,0.999949717235807
237,2.0,8.0,0.12,0.8737666273029551,-0.697250579812102,0.9998819316088647
238,2.0,8.0,0.18,0.8741664222726248,-0.3130458091704942,0.9997391488669801
239,2.0,8.0,0.28,0.8726923429304514,-0.2977178687709214,0.999336477777102
240,2.0,8.0,0.42,0.859007986677482,-0.48481284688705995,0.998602943350622
241,2.0,8.0,0.65,0.7567082348524925,-0.2659554207643802,0.9969810212230628
242,2.0,8.0,1.0,0.7455739942655069,-0.49207692937241715,0.9921850674836575
243,2.0,10.0,0.0,1.0217949800034554,-7.538352430569303e-07,0.9999999999999999
244,2.0,10.0,0.05,0.8513999060357155,-3.011167411388446,0.9999877650972369
245,2.0,10.0,0.08,0.8382252731084254,-1.431628945944001,0.9999678216765266
246,2.0,10.0,0.12,0.8396598355905761,-0.8237062229580818,0.9999244493033612
247,2.0,10.0,0.18,0.8401503619101406,-0.35546199761648534,0.9998331081061264
248,2.0,10.0,0.28,0.839464879135778,-0.23762952704865364,0.999575738037517
249,2.0,10.0,0.42,0.8329186570722636,-0.7182083056336174,0.9991075524019007
250,2.0,10.0,0.65,0.7468533110179715,-0.4943215754025748,0.9980752379129585
251,2.0,10.0,1.0,0.690220230236894,-0.8238259626175909,0.9950467755617148
252,5.0,0.0,0.0,1.0540473319710026,0.0001205164716555073,0.05944008949281079
253,5.0,0.0,0.05,1.0540682213868358,0.00011384999709498943,0.08889213043416101
254,5.0,0.0,0.08,1.0540768081478595,0.00010394568415481746,0.062266640340790415
255,5.0,0.0,0.12,1.0540706502662875,9.054015432155644e-05,0.07645114709161069
256,5.0,0.0,0.18,1.0540473737061802,6.723515116737228e-05,0.08727453391634035
257,5.0,0.0,0.28,1.0541006185012665,4.285942641198796e-05,0.09386802606265857
258,5.0,0.0,0.42,1.0541011308401564,2.1295709780105386e-05,0.09629965108913116
259,5.0,0.0,0.65,1.0542691983293748,1.0108622032476668e-05,0.08890662181641168
260,5.0,0.0,1.0,1.0533209534357035,3.6758419887102057e-06,0.09221883203351147
261,5.0,0.5,0.0,1.0558615808273284,-2.3249988926316942e-05,0.9999999999999999
262,5.0,0.5,0.05,0.9903259338770856,-0.1951526425118822,0.9950206802845512
