,delay,k_scale,sd,NRMSE,median,R1
176,3.0,0.0,0.0,1.0108302505973954,0.00012082498275703755,0.05568186685607147
177,3.0,0.0,0.05,1.0108365905284038,0.00011380001057610042,0.17633518939271883
178,3.0,0.0,0.0824,1.0108364092553328,0.0001071290793967562,0.10562929337936562
179,3.0,0.0,0.1357,1.0108428080600578,7.806796827005842e-05,0.061047977426896737
180,3.0,0.0,0.2236,1.010839937096606,4.4159713804117094e-05,0.036995966796299726
181,3.0,0.0,0.3684,1.0108477750881104,2.4671634263053294e-05,0.03549213104214497
182,3.0,0.0,0.607,1.010879032044832,4.578965050229395e-06,0.1058781729859907
183,3.0,0.0,1.0,1.0110410780869046,3.6054000218070773e-06,0.06818355827750819
184,3.0,0.1,0.0,0.9275437308341645,-0.02474731142159553,0.9999999912865212
185,3.0,0.1,0.05,0.9275913266905657,0.033963098226690636,0.9999502588997528
186,3.0,0.1,0.0824,0.9268878680606004,0.14065072697587755,0.9998897392354155
187,3.0,0.1,0.1357,0.9269303763701888,0.2044443558239329,0.9996227837492269
188,3.0,0.1,0.2236,0.9264254403548291,0.24904316388028058,0.9990101086135651
189,3.0,0.1,0.3684,0.9285887702496537,0.15777584705080952,0.9978220319577051
190,3.0,0.1,0.607,0.9275067801816669,-0.10242952745892087,0.9927847610494512
191,3.0,0.1,1.0,0.9256449479606196,0.32857557248905767,0.9777955050639324
192,3.0,0.2,0.0,0.9096581065139214,0.04869232717344299,0.9999999906233147
193,3.0,0.2,0.05,0.9095429225601779,0.045970009263610806,0.9999874387019426
194,3.0,0.2,0.0824,0.9098725693642289,-0.042864680655872206,0.9999733102679141
195,3.0,0.2,0.1357,0.9095087080108885,0.03883692781619005,0.9999053081584717
196,3.0,0.2,0.2236,0.9096444185405209,-0.05292387015925179,0.9997559828278818
197,3.0,0.2,0.3684,0.9098163268385717,0.057847956226396574,0.999414694361295
198,3.0,0.2,0.607,0.9097180904601101,-0.09233622038698486,0.9981605333189144
199,3.0,0.2,1.0,0.909468033101488,0.06571189985966364,0.9946403378999122
200,3.0,0.3,0.0,0.9084345748351731,0.20112959723387808,0.9999999900917672
201,3.0,0.3,0.05,0.9081156027994212,-0.015024399056993515,0.9999943975797524
202,3.0,0.3,0.0824,0.9085876098692911,0.17582675315936952,0.9999878488787599
203,3.0,0.3,0.1357,0.9080852348166428,-0.04306879124583625,0.9999558244143925
204,3.0,0.3,0.2236,0.9083984387548069,0.028136692797817317,0.9998912007974425
205,3.0,0.3,0.3684,0.9077517540102822,-0.03525571552550061,0.9997507941203877
206,3.0,0.3,0.607,0.9080540952916907,-0.09854773767103475,0.9991977380571193
207,3.0,0.3,1.0,0.908547644163237,-0.11235781101618766,0.9978128409970971
208,3.0,0.4,0.0,0.8972237984407688,-0.07524517792266833,0.9999999907169138
209,3.0,0.4,0.05,0.8955214442396418,0.49263022631261044,0.9999967827740163
210,3.0,0.4,0.0824,0.8954554228948158,0.20844624624770064,0.9999930738773829
211,3.0,0.4,0.1357,0.8944580096710009,-0.2159120205771329,0.9999765803989886
212,3.0,0.4,0.2236,0.895248885168138,0.4427401301901631,0.9999393310763919
213,3.0,0.4,0.3684,0.8960883281444367,-0.20370385691280016,0.9998573959594846
214,3.0,0.4,0.607,0.8961231208362272,0.24986128210713587,0.9995573619888092
215,3.0,0.4,1.0,0.8888779592869553,0.051122982797849215,0.9987822348786819
216,3.0,0.5,0.0,0.8707236128324429,0.10964018582463159,0.9999999919066884
217,3.0,0.5,0.05,0.8712573525497905,-0.23139325967709626,0.9999980980604406
218,3.0,0.5,0.0824,0.8665748787933714,0.14601404839709825,0.9999955573974666
219,3.0,0.5,0.1357,0.8707890685003434,0.0831001690982977,0.9999841134028153
220,3.0,0.5,0.2236,0.8598629092375678,-0.1205933073291375,0.9999603025187238
221,3.0,0.5,0.3684,0.869511090901973,-0.004519028525133972,0.9999077841148439
222,3.0,0.5,0.607,0.8685152318865875,0.34128734289538476,0.999710015373791
223,3.0,0.5,1.0,0.8671044911239503,-0.5262834102300704,0.9991878075411641
224,3.0,0.6,0.0,0.8337625464023452,-0.3578648672120397,0.999999991560456
225,3.0,0.6,0.05,0.8291055279869654,-0.1604510788731246,0.9999986159821974
226,3.0,0.6,0.0824,0.8348201450782538,-0.42757432219222435,0.9999968584639941
227,3.0,0.6,0.1357,0.8398612431857613,-0.2701227329476613,0.9999893735447343
